group,traj,frame,particle,label
2,5,100,101,1
1,8,100,710,1
2,9,100,223,1
2,9,100,222,1
2,4,100,658,1
1,7,100,317,1
1,2,100,438,1
1,3,100,58,1
2,3,100,561,1
1,9,100,713,1
2,7,100,682,1
2,7,100,358,1
2,7,100,828,1
1,7,100,65,1
1,7,100,822,1
1,7,100,423,1
1,9,100,591,1
1,4,100,179,1
2,0,100,779,1
1,4,100,406,1
1,8,100,642,1
2,6,100,342,1
2,3,100,648,1
1,8,100,495,1
2,7,100,534,1
1,4,100,462,1
1,6,100,664,1
2,6,100,21,1
2,8,100,104,1
1,8,100,562,1
2,8,100,665,1
2,2,100,4,1
1,7,100,547,1
1,4,100,178,1
2,6,100,284,1
2,2,100,715,1
1,9,100,843,1
2,7,100,346,1
1,1,100,817,1
2,7,100,229,1
2,7,100,496,1
1,9,100,309,1
1,6,100,487,1
2,2,100,696,1
2,6,100,220,1
1,6,100,37,1
2,8,100,227,1
1,5,100,285,1
1,8,100,41,1
1,5,100,715,1
1,5,100,583,1
1,8,100,688,1
1,2,100,510,1
2,1,100,63,1
1,4,100,596,1
1,3,100,568,1
2,7,100,125,1
1,9,100,673,1
1,5,100,566,1
2,4,100,646,1
2,4,100,66,1
1,0,100,239,1
2,5,100,778,1
2,8,100,48,1
2,4,100,709,1
1,6,100,662,1
1,7,100,669,1
1,9,100,483,1
2,6,100,408,1
2,1,100,556,1
2,9,100,852,1
1,9,100,171,1
1,8,100,88,1
1,9,100,651,1
2,5,100,437,1
2,4,100,538,1
1,7,100,672,1
2,6,100,364,1
1,9,100,602,1
1,7,100,364,1
1,9,100,340,1
2,4,100,177,1
1,8,100,667,1
2,3,100,222,1
2,6,100,224,1
2,3,100,584,1
1,5,100,433,1
1,5,100,501,1
1,6,100,713,1
1,6,100,130,1
1,9,100,453,1
2,7,100,27,1
1,6,100,492,1
2,4,100,432,1
2,9,100,351,1
2,9,100,239,1
2,1,100,121,1
1,7,100,795,1
2,4,100,797,1
1,7,100,663,1
1,7,100,413,1
2,2,100,486,1
1,1,100,536,1
1,6,100,817,1
1,7,100,599,1
1,3,100,594,1
2,9,100,542,1
1,1,100,848,1
1,2,100,713,1
1,8,100,607,1
2,7,100,524,1
2,7,100,600,1
2,3,100,597,1
2,4,100,320,1
2,6,100,263,1
2,4,100,96,1
1,5,100,108,1
1,6,100,269,1
2,6,100,311,1
1,3,100,262,1
1,5,100,102,1
2,9,100,751,1
1,9,100,258,1
2,4,100,80,1
2,3,100,664,1
2,9,100,345,1
2,8,100,417,1
1,8,100,488,1
1,8,100,793,1
1,8,100,785,1
2,2,100,514,1
2,6,100,309,1
1,9,100,727,1
2,4,100,645,1
2,5,100,562,1
2,7,100,314,1
1,5,100,594,1
1,7,100,775,1
2,5,100,800,1
2,7,100,216,1
1,4,100,172,1
1,8,100,123,1
1,9,100,540,1
2,8,100,538,1
1,8,100,556,1
2,9,100,466,1
2,9,100,848,1
2,5,100,28,1
1,7,100,555,1
2,4,100,233,1
2,3,100,252,1
1,4,100,198,1
2,8,100,568,1
2,5,100,614,1
1,4,100,651,1
2,7,100,278,1
2,7,100,95,1
2,5,100,129,1
2,0,100,860,1
1,5,100,587,1
1,8,100,266,1
1,9,100,370,1
1,3,100,746,1
1,2,100,258,1
1,3,100,486,1
2,0,100,113,1
1,8,100,797,1
2,1,100,772,1
1,6,100,729,1
2,1,100,855,1
1,1,100,175,1
2,8,100,462,1
2,2,100,281,1
2,8,100,510,1
1,9,100,553,1
1,7,100,34,1
2,8,100,758,1
2,2,100,601,1
1,8,100,475,1
2,7,100,131,1
2,6,100,528,1
1,7,100,347,1
1,5,100,93,1
2,5,100,87,1
1,6,100,65,1
1,8,100,506,1
2,5,100,504,1
2,6,100,378,1
2,4,100,260,1
2,2,100,394,1
2,9,100,514,1
2,1,100,252,1
2,5,100,522,1
2,1,100,118,1
1,9,100,618,1
2,8,100,171,1
1,3,100,15,1
2,5,100,428,1
1,0,100,29,1
1,3,100,129,1
1,5,100,844,1
1,3,100,482,1
1,5,100,776,1
2,7,100,744,1
1,2,100,628,1
1,1,100,402,1
1,8,100,89,1
1,6,100,165,1
1,8,100,105,1
1,4,100,294,1
2,5,100,276,1
1,1,100,621,1
2,2,100,556,1
2,4,100,509,1
2,5,100,104,1
2,3,100,610,1
2,5,100,124,1
2,2,100,594,1
2,5,100,462,1
1,7,100,12,1
2,8,100,9,1
2,9,100,287,1
2,7,100,243,1
2,5,100,790,1
1,6,100,227,1
2,8,100,731,1
1,9,100,685,1
1,9,100,40,1
2,3,100,798,1
1,1,100,17,1
2,5,100,623,1
1,8,100,54,1
1,8,100,198,1
2,4,100,515,1
2,4,100,84,1
2,8,100,823,1
1,6,100,56,1
2,9,100,98,1
2,6,100,800,1
2,3,100,815,1
1,5,100,45,1
2,0,100,324,1
2,8,100,506,1
2,1,100,82,1
2,2,100,321,1
2,5,100,610,1
2,5,100,388,1
1,6,100,199,1
1,5,100,680,1
2,8,100,705,1
1,5,100,780,1
2,7,100,455,1
2,8,100,754,1
2,9,100,538,1
2,2,100,5,1
1,6,100,207,1
1,8,100,247,1
2,4,100,650,1
1,9,100,720,1
1,7,100,752,1
2,8,100,597,1
1,8,100,465,1
1,8,100,848,1
1,9,100,218,1
2,6,100,312,1
2,7,100,703,1
2,0,100,70,1
2,5,100,677,1
2,5,100,561,1
2,8,100,530,1
2,5,100,323,1
2,6,100,267,1
2,5,100,217,1
1,7,100,742,1
2,7,100,664,1
